accession,sample_name,longitude_deg,latitude_deg,country,studies,env_biome,env_feature,env_material
DRS000196,DRS000196,,,,MGYS00000653,,,
DRS001056,soil microbe DNA,,,,MGYS00000624,,,
DRS012638,Active ammonia oxidizers in an acid soil are phylogenetically closely related to neutrophilic Nitrososphaera viennensis,,,,MGYS00000649,,,
DRS014214,Reactor A,,,,MGYS00004316,,,
DRS014215,Reactor B,,,,MGYS00004316,,,
DRS014216,Reactor C,,,,MGYS00004316,,,
DRS014217,Reactor D,,,,MGYS00004316,,,
DRS014218,Blank,,,,MGYS00004316,,,
DRS019399,DRS019399,,,,MGYS00000650,,,
DRS019400,DRS019400,,,,MGYS00000650,,,
DRS019401,DRS019401,,,,MGYS00000650,,,
DRS019402,DRS019402,,,,MGYS00000650,,,
DRS019403,DRS019403,,,,MGYS00000650,,,
DRS019404,DRS019404,,,,MGYS00000650,,,
DRS019405,DRS019405,,,,MGYS00000650,,,
DRS019406,DRS019406,,,,MGYS00000650,,,
DRS019407,DRS019407,,,,MGYS00000650,,,
DRS019408,DRS019408,,,,MGYS00000650,,,
DRS019409,DRS019409,,,,MGYS00000650,,,
DRS019410,DRS019410,,,,MGYS00000650,,,
DRS019418,DRS019418,,,,MGYS00000651,,,
DRS019419,DRS019419,,,,MGYS00000651,,,
DRS019420,DRS019420,,,,MGYS00000651,,,
DRS019421,DRS019421,,,,MGYS00000651,,,
DRS019422,DRS019422,,,,MGYS00000651,,,
DRS019423,DRS019423,,,,MGYS00000651,,,
DRS019424,DRS019424,,,,MGYS00000651,,,
DRS019425,DRS019425,,,,MGYS00000651,,,
DRS019426,DRS019426,,,,MGYS00000651,,,
DRS019827,DRS019827,,,,MGYS00000716,,,
DRS019828,DRS019828,,,,MGYS00000716,,,
DRS019829,DRS019829,,,,MGYS00000716,,,
DRS019830,DRS019830,,,,MGYS00000716,,,
DRS019831,DRS019831,,,,MGYS00000716,,,
DRS019832,DRS019832,,,,MGYS00000716,,,
DRS019833,DRS019833,,,,MGYS00000716,,,
DRS019834,DRS019834,,,,MGYS00000716,,,
DRS019835,DRS019835,,,,MGYS00000716,,,
DRS019836,DRS019836,,,,MGYS00000716,,,
DRS019837,DRS019837,,,,MGYS00000716,,,
DRS019838,DRS019838,,,,MGYS00000716,,,
DRS019839,DRS019839,,,,MGYS00000716,,,
DRS019840,DRS019840,,,,MGYS00000716,,,
DRS019841,DRS019841,,,,MGYS00000716,,,
DRS019842,DRS019842,,,,MGYS00000716,,,
DRS020511,DRS020511,,,,MGYS00000655,,,
DRS020512,DRS020512,,,,MGYS00000655,,,
DRS022562,DRS022562,,,,MGYS00000657,,,
DRS022563,DRS022563,,,,MGYS00000657,,,
DRS022564,DRS022564,,,,MGYS00000657,,,
DRS022565,DRS022565,,,,MGYS00000657,,,
DRS022566,DRS022566,,,,MGYS00000657,,,
DRS022567,DRS022567,,,,MGYS00000657,,,
DRS022568,DRS022568,,,,MGYS00000657,,,
DRS022569,DRS022569,,,,MGYS00000657,,,
DRS022570,DRS022570,,,,MGYS00000657,,,
DRS022571,DRS022571,,,,MGYS00000657,,,
DRS022572,DRS022572,,,,MGYS00000657,,,
DRS022573,DRS022573,,,,MGYS00000657,,,
DRS022574,DRS022574,,,,MGYS00000657,,,
DRS022575,DRS022575,,,,MGYS00000657,,,
DRS022576,DRS022576,,,,MGYS00000657,,,
DRS022577,DRS022577,,,,MGYS00000657,,,
DRS022578,DRS022578,,,,MGYS00000657,,,
DRS022579,DRS022579,,,,MGYS00000657,,,
DRS022580,DRS022580,,,,MGYS00000657,,,
DRS022581,DRS022581,,,,MGYS00000657,,,
DRS022582,DRS022582,,,,MGYS00000657,,,
DRS022583,DRS022583,,,,MGYS00000657,,,
DRS022584,DRS022584,,,,MGYS00000657,,,
DRS022585,DRS022585,,,,MGYS00000657,,,
DRS022586,DRS022586,,,,MGYS00000657,,,
DRS022587,DRS022587,,,,MGYS00000657,,,
DRS022588,DRS022588,,,,MGYS00000657,,,
DRS022589,DRS022589,,,,MGYS00000657,,,
DRS022590,DRS022590,,,,MGYS00000657,,,
DRS022591,DRS022591,,,,MGYS00000657,,,
DRS022592,DRS022592,,,,MGYS00000657,,,
DRS022593,DRS022593,,,,MGYS00000657,,,
DRS022594,DRS022594,,,,MGYS00000657,,,
DRS022595,DRS022595,,,,MGYS00000657,,,
DRS022596,DRS022596,,,,MGYS00000657,,,
DRS022597,DRS022597,,,,MGYS00000657,,,
DRS022598,DRS022598,,,,MGYS00000657,,,
DRS022599,DRS022599,,,,MGYS00000657,,,
DRS022600,DRS022600,,,,MGYS00000657,,,
DRS022601,DRS022601,,,,MGYS00000657,,,
DRS022602,DRS022602,,,,MGYS00000657,,,
DRS022603,DRS022603,,,,MGYS00000657,,,
DRS022604,DRS022604,,,,MGYS00000657,,,
DRS022605,DRS022605,,,,MGYS00000657,,,
DRS022606,DRS022606,,,,MGYS00000657,,,
DRS022607,DRS022607,,,,MGYS00000657,,,
DRS022608,DRS022608,,,,MGYS00000657,,,
DRS022609,DRS022609,,,,MGYS00000657,,,
DRS022610,DRS022610,,,,MGYS00000657,,,
DRS022611,DRS022611,,,,MGYS00000657,,,
DRS022612,DRS022612,,,,MGYS00000657,,,
DRS022613,DRS022613,,,,MGYS00000657,,,
DRS022614,DRS022614,,,,MGYS00000657,,,
DRS022615,DRS022615,,,,MGYS00000657,,,
DRS022616,DRS022616,,,,MGYS00000657,,,
DRS022617,DRS022617,,,,MGYS00000657,,,
DRS022618,DRS022618,,,,MGYS00000657,,,
DRS022619,DRS022619,,,,MGYS00000657,,,
DRS022620,DRS022620,,,,MGYS00000657,,,
DRS022621,DRS022621,,,,MGYS00000657,,,
DRS022622,DRS022622,,,,MGYS00000657,,,
DRS022623,DRS022623,,,,MGYS00000657,,,
DRS022624,DRS022624,,,,MGYS00000657,,,
DRS022625,DRS022625,,,,MGYS00000657,,,
DRS022626,DRS022626,,,,MGYS00000657,,,
DRS022627,DRS022627,,,,MGYS00000657,,,
DRS022628,DRS022628,,,,MGYS00000657,,,
DRS022629,DRS022629,,,,MGYS00000657,,,
DRS022630,DRS022630,,,,MGYS00000657,,,
DRS022631,DRS022631,,,,MGYS00000657,,,
DRS022632,DRS022632,,,,MGYS00000657,,,
DRS022633,DRS022633,,,,MGYS00000657,,,
DRS022634,DRS022634,,,,MGYS00000657,,,
DRS022635,DRS022635,,,,MGYS00000657,,,
DRS022636,DRS022636,,,,MGYS00000657,,,
DRS022637,DRS022637,,,,MGYS00000657,,,
DRS022638,DRS022638,,,,MGYS00000657,,,
DRS022639,DRS022639,,,,MGYS00000657,,,
DRS022640,DRS022640,,,,MGYS00000657,,,
DRS022641,DRS022641,,,,MGYS00000657,,,
DRS022642,DRS022642,,,,MGYS00000657,,,
DRS022643,DRS022643,,,,MGYS00000657,,,
DRS022644,DRS022644,,,,MGYS00000657,,,
DRS022645,DRS022645,,,,MGYS00000657,,,
DRS022646,DRS022646,,,,MGYS00000657,,,
DRS022647,DRS022647,,,,MGYS00000657,,,
DRS022648,DRS022648,,,,MGYS00000657,,,
DRS023751,SAMD00047330,137.3919,34.6577,"Japan:Aichi, Toyohashi",MGYS00001634,terrestrial habitat(ENVO:00002009),coastal sands,sands
DRS036583,DRS036583,142.0091,44.9859,,MGYS00005288,forest,forest soil,soil
DRS048306,SAMD00068844,139.7257,35.7085,Japan:Tokyo,MGYS00002702,,,soil
DRS166291,SAMD00212282,138.802,35.9439,,MGYS00005744,forest biome,mountain,forest soil
DRS166293,SAMD00212284,138.8023,35.9434,,MGYS00005744,forest biome,mountain,forest soil
DRS166295,SAMD00212286,138.8028,35.9436,,MGYS00005744,forest biome,mountain,forest soil
DRS166296,SAMD00212287,138.8028,35.9436,,MGYS00005744,forest biome,mountain,forest soil
DRS166300,SAMD00212291,138.8038,35.9459,,MGYS00005744,forest biome,mountain,forest soil
DRS166302,SAMD00212293,138.8033,35.9455,,MGYS00005744,forest biome,mountain,forest soil
DRS166303,SAMD00212294,138.8031,35.9452,,MGYS00005744,forest biome,mountain,forest soil
DRS166304,SAMD00212295,138.8031,35.9452,,MGYS00005744,forest biome,mountain,forest soil
DRS166305,SAMD00212296,138.8038,35.9483,,MGYS00005744,forest biome,mountain,forest soil
DRS166306,SAMD00212297,138.8038,35.9483,,MGYS00005744,forest biome,mountain,forest soil
DRS166307,SAMD00212298,138.8039,35.9479,,MGYS00005744,forest biome,mountain,forest soil
DRS166311,SAMD00212302,138.8008,35.9416,,MGYS00005744,forest biome,mountain,forest soil
DRS166313,SAMD00212304,138.8273,35.9488,,MGYS00005744,forest biome,mountain,forest soil
DRS166314,SAMD00212305,138.8273,35.9488,,MGYS00005744,forest biome,mountain,forest soil
DRS166317,SAMD00212308,138.8045,35.937,,MGYS00005744,forest biome,mountain,forest soil
DRS166318,SAMD00212309,138.8045,35.937,,MGYS00005744,forest biome,mountain,forest soil
DRS166319,SAMD00212310,138.804,35.9367,,MGYS00005744,forest biome,mountain,forest soil
DRS166322,SAMD00212313,138.8003,35.9581,,MGYS00005744,forest biome,mountain,forest soil
DRS166323,SAMD00212314,138.8,35.9583,,MGYS00005744,forest biome,mountain,forest soil
DRS166324,SAMD00212315,138.8,35.9583,,MGYS00005744,forest biome,mountain,forest soil
DRS166325,SAMD00212316,138.7995,35.941,,MGYS00005744,forest biome,mountain,forest soil
DRS166328,SAMD00212319,138.8001,35.941,,MGYS00005744,forest biome,mountain,forest soil
DRS166330,SAMD00212321,138.7986,35.9588,,MGYS00005744,forest biome,mountain,forest soil
DRS166332,SAMD00212323,138.7982,35.9588,,MGYS00005744,forest biome,mountain,forest soil
DRS166334,SAMD00212325,138.8249,35.9505,,MGYS00005744,forest biome,mountain,forest soil
DRS166336,SAMD00212327,138.8254,35.9504,,MGYS00005744,forest biome,mountain,forest soil
DRS166338,SAMD00212329,138.82,35.9572,,MGYS00005744,forest biome,mountain,forest soil
DRS166339,SAMD00212330,138.8196,35.9574,,MGYS00005744,forest biome,mountain,forest soil
DRS166340,SAMD00212331,138.8196,35.9574,,MGYS00005744,forest biome,mountain,forest soil
DRS166341,SAMD00212332,138.8153,35.9578,,MGYS00005744,forest biome,mountain,forest soil
DRS166344,SAMD00212335,138.8152,35.9579,,MGYS00005744,forest biome,mountain,forest soil
DRS166345,SAMD00212336,138.7984,35.9598,,MGYS00005744,forest biome,mountain,forest soil
DRS166348,SAMD00212339,138.7985,35.9595,,MGYS00005744,forest biome,mountain,forest soil
DRS166352,SAMD00212343,138.8193,35.9136,,MGYS00005744,forest biome,mountain,forest soil
DRS166354,SAMD00212345,138.8176,35.917,,MGYS00005744,forest biome,mountain,forest soil
DRS166355,SAMD00212346,138.8177,35.9174,,MGYS00005744,forest biome,mountain,forest soil
DRS166356,SAMD00212347,138.8177,35.9174,,MGYS00005744,forest biome,mountain,forest soil
DRS166357,SAMD00212348,138.8188,35.9196,,MGYS00005744,forest biome,mountain,forest soil
DRS166358,SAMD00212349,138.8188,35.9196,,MGYS00005744,forest biome,mountain,forest soil
DRS166359,SAMD00212350,138.8185,35.9199,,MGYS00005744,forest biome,mountain,forest soil
DRS166362,SAMD00212353,138.8107,35.9224,,MGYS00005744,forest biome,mountain,forest soil
DRS166363,SAMD00212354,138.8102,35.9226,,MGYS00005744,forest biome,mountain,forest soil
DRS166364,SAMD00212355,138.8102,35.9226,,MGYS00005744,forest biome,mountain,forest soil
DRS166365,SAMD00212356,138.7994,35.9158,,MGYS00005744,forest biome,mountain,forest soil
DRS166366,SAMD00212357,138.7994,35.9158,,MGYS00005744,forest biome,mountain,forest soil
DRS166368,SAMD00212359,138.7997,35.9156,,MGYS00005744,forest biome,mountain,forest soil
DRS166371,SAMD00212362,138.8015,35.9157,,MGYS00005744,forest biome,mountain,forest soil
DRS166372,SAMD00212363,138.8015,35.9157,,MGYS00005744,forest biome,mountain,forest soil
DRS166373,SAMD00212364,138.7974,35.9148,,MGYS00005744,forest biome,mountain,forest soil
DRS166376,SAMD00212367,138.7977,35.9149,,MGYS00005744,forest biome,mountain,forest soil
DRS166379,SAMD00212370,138.8019,35.917,,MGYS00005744,forest biome,mountain,forest soil
DRS166380,SAMD00212371,138.8019,35.917,,MGYS00005744,forest biome,mountain,forest soil
DRS166384,SAMD00212375,138.8074,35.9202,,MGYS00005744,forest biome,mountain,forest soil
DRS166385,SAMD00212376,138.8034,35.9195,,MGYS00005744,forest biome,mountain,forest soil
DRS166386,SAMD00212377,138.8034,35.9195,,MGYS00005744,forest biome,mountain,forest soil
DRS166387,SAMD00212378,138.8038,35.92,,MGYS00005744,forest biome,mountain,forest soil
DRS166389,SAMD00212380,138.8136,35.9218,,MGYS00005744,forest biome,mountain,forest soil
DRS166390,SAMD00212381,138.8136,35.9218,,MGYS00005744,forest biome,mountain,forest soil
DRS166392,SAMD00212383,138.8133,35.9219,,MGYS00005744,forest biome,mountain,forest soil
DRS166393,SAMD00212384,138.8189,35.9169,,MGYS00005744,forest biome,mountain,forest soil
DRS166394,SAMD00212385,138.8189,35.9169,,MGYS00005744,forest biome,mountain,forest soil
DRS166395,SAMD00212386,138.8188,35.9174,,MGYS00005744,forest biome,mountain,forest soil
DRS166396,SAMD00212387,138.8188,35.9174,,MGYS00005744,forest biome,mountain,forest soil
DRS166398,SAMD00212389,138.8196,35.9155,,MGYS00005744,forest biome,mountain,forest soil
DRS166399,SAMD00212390,138.8193,35.9155,,MGYS00005744,forest biome,mountain,forest soil
DRS166400,SAMD00212391,138.8193,35.9155,,MGYS00005744,forest biome,mountain,forest soil
DRS166401,SAMD00212392,138.8318,35.9195,,MGYS00005744,forest biome,mountain,forest soil
DRS166402,SAMD00212393,138.8318,35.9195,,MGYS00005744,forest biome,mountain,forest soil
DRS166405,SAMD00212396,138.8268,35.9272,,MGYS00005744,forest biome,mountain,forest soil
ERS025421,Wheat Rhizosphere soil from John Innes Centre,1.218,52.6228,United Kingdom; Norwich,MGYS00000260,terrestrial biome,rhizosphere,soil
ERS078132,"Low pH soil from UK Countryside Survey, CS1",,,UK,MGYS00000295,terrestrial biome,soil,soil
ERS078133,"Low pH soil from UK Countryside Survey, CS179",,,UK,MGYS00000295,terrestrial biome,soil,soil
ERS078134,"Low pH soil from UK Countryside Survey, CS864",,,UK,MGYS00000295,terrestrial biome,soil,soil
ERS078135,"Low pH soil from UK Countryside Survey, CS922",,,UK,MGYS00000295,terrestrial biome,soil,soil
ERS078136,"High pH soil from UK Countryside Survey, CS78",,,UK,MGYS00000295,terrestrial biome,soil,soil
ERS078137,"High pH soil from UK Countryside Survey, CS251",,,UK,MGYS00000295,terrestrial biome,soil,soil
ERS078138,"High pH soil from UK Countryside Survey, CS511",,,UK,MGYS00000295,terrestrial biome,soil,soil
ERS078139,"High pH soil from UK Countryside Survey, CS1053",,,UK,MGYS00000295,terrestrial biome,soil,soil
ERS1037666,AA05,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes
ERS1037667,AA07,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes
ERS1037668,AA10,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes
ERS1037669,EX01,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes
ERS1037670,EX04,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes
ERS1037671,EX06,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes
ERS1037672,GM01,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes
ERS1037673,GM03,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes
ERS1037674,GM08,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes
ERS1037675,ME03,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes
ERS1037676,ME04,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes
ERS1037677,ME09,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes
ERS1037678,MP02,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes
ERS1037679,MP05,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes
ERS1037680,MP09,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes
ERS1037681,NS02,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes
ERS1037682,NS03,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes
ERS1037683,NS06,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes
ERS1037685,NS10,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes
ERS1037686,NS11,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes
ERS1037687,PS12,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes
ERS1037688,PS13,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes
ERS1037689,PS16,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes
ERS1037690,ZR02,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes
ERS1037691,ZR10,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes
ERS1037692,ZR21,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes
ERS1051884,16S_2_Wheat,13.05,55.74,Sweden,MGYS00001202,soil,terrestrial,Soil
ERS1051885,16S_3_Wheat,13.32,55.67,Sweden,MGYS00001202,soil,terrestrial,Soil
ERS1051886,16S_4_Wheat,13.03,55.78,Sweden,MGYS00001202,soil,terrestrial,Soil
ERS1051887,16S_5_Wheat,13.18,55.75,Sweden,MGYS00001202,soil,terrestrial,Soil
ERS1051888,16S_2_Grass,13.05,55.74,Sweden,MGYS00001202,soil,terrestrial,Soil
ERS1051889,16S_3_Grass,13.34,55.67,Sweden,MGYS00001202,soil,terrestrial,Soil
ERS1051890,16S_4_Grass,13.01,55.75,Sweden,MGYS00001202,soil,terrestrial,Soil
ERS1051891,16S_5_Grass,13.15,55.74,Sweden,MGYS00001202,soil,terrestrial,Soil
ERS1052224,Wb,32.2549,30.3501,Egypt,MGYS00001421,Desert Soil,Soil,Soil
ERS1052225,Sb,31.3941,30.2288,Egypt,MGYS00001421,Agricultural Soil,Soil,Soil
ERS1073737,NP13-J10A-WGS,6.104,48.615,France,MGYS00000628,terrestrial biome,contaminated soil,contaminated soil
ERS1073738,NP13-J10B-WGS,6.104,48.615,France,MGYS00000628,terrestrial biome,contaminated soil,contaminated soil
ERS1073739,NP13-J10C-WGS,6.104,48.615,France,MGYS00000628,terrestrial biome,contaminated soil,contaminated soil
ERS1073740,RG13-J10A-WGS,6.104,48.615,France,MGYS00000628,terrestrial biome,contaminated soil,contaminated soil
ERS1073741,RG13-J10B-WGS,6.104,48.615,France,MGYS00000628,terrestrial biome,contaminated soil,contaminated soil
ERS1073742,RG13-J10C-WGS,6.104,48.615,France,MGYS00000628,terrestrial biome,contaminated soil,contaminated soil
ERS1075580,Restinga experiment,,,,"MGYS00000776,MGYS00002037",,,
ERS1075581,Restinga experiment,,,,MGYS00000776,,,
ERS1092925,Soil sample: AB2 3S,-116.1339,33.2844,USA,MGYS00000644,desert,rock,rock
ERS1092926,DV sample: AB2 3,-116.1339,33.2844,USA,MGYS00000644,desert,rock,rock
ERS1092927,Soil sample: AB2 2S,-116.1339,33.2844,USA,MGYS00000644,desert,rock,rock
ERS1092928,DV sample: AB D3,-116.1339,33.2844,USA,MGYS00000644,desert,rock,rock
ERS1092929,Soil sample: AB D2,-116.1339,33.2844,USA,MGYS00000644,desert,rock,rock
ERS1092930,DV sample: ABD2 51,-116.1339,33.2844,USA,MGYS00000644,desert,rock,rock
ERS1107752,BSC,,37.0,Spain,MGYS00000712,desert,soil,soil
ERS1107753,BSC,,37.0,Spain,MGYS00000712,desert,soil,soil
ERS1107754,BSC,,37.0,Spain,MGYS00000712,desert,soil,soil
ERS1107755,BSC,,37.0,Spain,MGYS00000712,desert,soil,soil
ERS1107756,BSC,,37.0,Spain,MGYS00000712,desert,soil,soil
ERS1107757,BSC,,37.0,Spain,MGYS00000712,desert,soil,soil
ERS1115236,biocrust,,,Austria,MGYS00000802,biological soil crust,soil,soil
ERS1115237,biocrust,,,Austria,MGYS00000802,biological soil crust,soil,soil
ERS1115238,biocrust,,,Germany,MGYS00000802,biological soil crust,soil,soil
ERS1115239,biocrust,,,Germany,MGYS00000802,biological soil crust,soil,soil
ERS1214242,GG_Run,,,,MGYS00001155,,,
ERS1214243,GG_Run,,,,MGYS00001155,,,
ERS1214244,GG_Run,,,,"MGYS00001155,MGYS00002069",,,
ERS1234050,Labirinto_Cave_Metagenomes,-8.0309,37.1723,Portugal,MGYS00001173,sediment,cave sediment,granular sediment
ERS1234051,Labirinto_Cave_Metagenomes,-8.0309,37.1723,Portugal,MGYS00001173,sediment,cave sediment,granular sediment
ERS1234052,Labirinto_Cave_Metagenomes,-8.0309,37.1723,Portugal,MGYS00001173,sediment,cave sediment,granular sediment
ERS1261217,"Cascade Head, old growth western hemlock, rep 1",-123.94,45.06,GAZ:United States of America,MGYS00003688,forest biome,forest soil,soil
ERS1261218,"Cascade Head, old growth western hemlock, rep 2",-123.94,45.06,GAZ:United States of America,MGYS00003688,forest biome,forest soil,soil
ERS1261219,"Cascade Head, old growth western hemlock, rep 3",-123.94,45.07,GAZ:United States of America,MGYS00003688,forest biome,forest soil,soil
ERS1261220,"McDonald Forest, Douglas-fir, rep 1",-122.14,44.39,GAZ:United States of America,MGYS00003688,forest biome,forest soil,soil
ERS1261221,"McDonald Forest, Douglas-fir, rep 2",-122.14,44.39,GAZ:United States of America,MGYS00003688,forest biome,forest soil,soil
ERS1261222,"McDonald Forest, Douglas-fir, rep 3",-122.14,44.39,GAZ:United States of America,MGYS00003688,forest biome,forest soil,soil
ERS1261223,"HJ Andrews, Douglas-fir, rep 1",-122.22,44.23,GAZ:United States of America,MGYS00003688,forest biome,forest soil,soil
ERS1261224,"HJ Andrews, Douglas-fir, rep 2",-122.22,44.23,GAZ:United States of America,MGYS00003688,forest biome,forest soil,soil
ERS1261225,"HJ Andrews, Douglas-fir, rep 3",-122.22,44.23,GAZ:United States of America,MGYS00003688,forest biome,forest soil,soil
ERS1261226,"Deercreek, Douglas-fir, rep 1",-121.02,43.92,GAZ:United States of America,MGYS00003688,forest biome,forest soil,soil
ERS1261227,"Deercreek, Douglas-fir, rep 2",-121.02,43.92,GAZ:United States of America,MGYS00003688,forest biome,forest soil,soil
ERS1261228,"Deercreek, Douglas-fir, rep 3",-121.02,43.91,GAZ:United States of America,MGYS00003688,forest biome,forest soil,soil
ERS1261229,"Santiam Pass, mountain hemlock, rep 1",-123.32,44.63,GAZ:United States of America,MGYS00003688,forest biome,forest soil,soil
ERS1261230,"Santiam Pass, mountain hemlock, rep 2",-123.32,44.63,GAZ:United States of America,MGYS00003688,forest biome,forest soil,soil
ERS1261231,"Santiam Pass, mountain hemlock, rep 3",-123.32,44.62,GAZ:United States of America,MGYS00003688,forest biome,forest soil,soil
ERS1261232,"Metolius River, ponderosa pine, rep 1",-121.63,44.5,GAZ:United States of America,MGYS00003688,forest biome,forest soil,soil
ERS1261233,"Metolius River, ponderosa pine, rep 2",-121.63,44.5,GAZ:United States of America,MGYS00003688,forest biome,forest soil,soil
ERS1261234,"Metolius River, ponderosa pine, rep 3",-121.63,44.49,GAZ:United States of America,MGYS00003688,forest biome,forest soil,soil
ERS1261235,"Horse Ridge, western juniper, rep 1",-121.8,44.41,GAZ:United States of America,MGYS00003688,forest biome,forest soil,soil
ERS1261236,"Horse Ridge, western juniper, rep 2",-121.79,44.42,GAZ:United States of America,MGYS00003688,forest biome,forest soil,soil
ERS1261237,"Horse Ridge, western juniper, rep 3",-121.85,44.42,GAZ:United States of America,MGYS00003688,forest biome,forest soil,soil
ERS1261890,qiita_sid_1030:1030.TVF.2004.Loc1.D0.Rep1,-145.64,64.35,GAZ:United States of America,MGYS00003860,forest biome,forest soil,soil
ERS1261891,qiita_sid_1030:1030.TVF.2004.Loc1.D0.Rep2,-145.64,64.35,GAZ:United States of America,MGYS00003860,forest biome,forest soil,soil
ERS1261892,qiita_sid_1030:1030.TVF.2004.Loc1.D0.Rep3,-145.64,64.35,GAZ:United States of America,MGYS00003860,forest biome,forest soil,soil
ERS1261893,qiita_sid_1030:1030.TVF.2004.Loc1.D0.Rep4,-145.64,64.35,GAZ:United States of America,MGYS00003860,forest biome,forest soil,soil
ERS1261894,qiita_sid_1030:1030.TVF.2004.Loc1.D0.Rep5,-145.64,64.35,GAZ:United States of America,MGYS00003860,forest biome,forest soil,soil
ERS1261895,qiita_sid_1030:1030.TVF.2004.Loc1.D10.Rep1,-145.64,64.35,GAZ:United States of America,MGYS00003860,forest biome,forest soil,soil
ERS1261896,qiita_sid_1030:1030.TVF.2004.Loc1.D10.Rep2,-145.64,64.35,GAZ:United States of America,MGYS00003860,forest biome,forest soil,soil
ERS1261897,qiita_sid_1030:1030.TVF.2004.Loc1.D10.Rep3,-145.64,64.35,GAZ:United States of America,MGYS00003860,forest biome,forest soil,soil
ERS1261898,qiita_sid_1030:1030.TVF.2004.Loc1.D10.Rep4,-145.64,64.35,GAZ:United States of America,MGYS00003860,forest biome,forest soil,soil
ERS1261899,qiita_sid_1030:1030.TVF.2004.Loc1.D10.Rep5,-145.64,64.35,GAZ:United States of America,MGYS00003860,forest biome,forest soil,soil
ERS1261900,qiita_sid_1030:1030.TVF.2004.Loc2.D0.Rep1,-145.64,64.35,GAZ:United States of America,MGYS00003860,forest biome,forest soil,soil
ERS1261901,qiita_sid_1030:1030.TVF.2004.Loc2.D0.Rep2,-145.64,64.35,GAZ:United States of America,MGYS00003860,forest biome,forest soil,soil
ERS1261902,qiita_sid_1030:1030.TVF.2004.Loc2.D0.Rep3,-145.64,64.35,GAZ:United States of America,MGYS00003860,forest biome,forest soil,soil
ERS1261903,qiita_sid_1030:1030.TVF.2004.Loc2.D0.Rep4,-145.64,64.35,GAZ:United States of America,MGYS00003860,forest biome,forest soil,soil
ERS1261904,qiita_sid_1030:1030.TVF.2004.Loc2.D0.Rep5,-145.64,64.35,GAZ:United States of America,MGYS00003860,forest biome,forest soil,soil
ERS1261905,qiita_sid_1030:1030.TVF.2004.Loc2.D10.Rep1,-145.64,64.35,GAZ:United States of America,MGYS00003860,forest biome,forest soil,soil
ERS1261906,qiita_sid_1030:1030.TVF.2004.Loc2.D10.Rep2,-145.64,64.35,GAZ:United States of America,MGYS00003860,forest biome,forest soil,soil
ERS1261907,qiita_sid_1030:1030.TVF.2004.Loc2.D10.Rep3,-145.64,64.35,GAZ:United States of America,MGYS00003860,forest biome,forest soil,soil
