accession,sample_name,longitude_deg,latitude_deg,country,studies,env_biome,env_feature,env_material,experiment_type,collection_date
DRS022599,DRS022599,,,,MGYS00000657,,,,amplicon,
DRS022600,DRS022600,,,,MGYS00000657,,,,amplicon,
DRS022601,DRS022601,,,,MGYS00000657,,,,amplicon,
DRS022602,DRS022602,,,,MGYS00000657,,,,amplicon,
DRS022603,DRS022603,,,,MGYS00000657,,,,amplicon,
DRS022604,DRS022604,,,,MGYS00000657,,,,amplicon,
DRS022605,DRS022605,,,,MGYS00000657,,,,amplicon,
DRS022606,DRS022606,,,,MGYS00000657,,,,amplicon,
DRS022607,DRS022607,,,,MGYS00000657,,,,amplicon,
DRS022608,DRS022608,,,,MGYS00000657,,,,amplicon,
DRS022609,DRS022609,,,,MGYS00000657,,,,amplicon,
DRS022610,DRS022610,,,,MGYS00000657,,,,amplicon,
DRS022611,DRS022611,,,,MGYS00000657,,,,amplicon,
DRS022612,DRS022612,,,,MGYS00000657,,,,amplicon,
DRS022613,DRS022613,,,,MGYS00000657,,,,amplicon,
DRS022614,DRS022614,,,,MGYS00000657,,,,amplicon,
DRS022615,DRS022615,,,,MGYS00000657,,,,amplicon,
DRS022616,DRS022616,,,,MGYS00000657,,,,amplicon,
DRS022617,DRS022617,,,,MGYS00000657,,,,amplicon,
DRS022618,DRS022618,,,,MGYS00000657,,,,amplicon,
DRS022619,DRS022619,,,,MGYS00000657,,,,amplicon,
DRS022620,DRS022620,,,,MGYS00000657,,,,amplicon,
DRS022621,DRS022621,,,,MGYS00000657,,,,amplicon,
DRS022622,DRS022622,,,,MGYS00000657,,,,amplicon,
DRS022623,DRS022623,,,,MGYS00000657,,,,amplicon,
DRS022624,DRS022624,,,,MGYS00000657,,,,amplicon,
DRS022625,DRS022625,,,,MGYS00000657,,,,amplicon,
DRS022626,DRS022626,,,,MGYS00000657,,,,amplicon,
DRS022627,DRS022627,,,,MGYS00000657,,,,amplicon,
DRS022628,DRS022628,,,,MGYS00000657,,,,amplicon,
DRS022629,DRS022629,,,,MGYS00000657,,,,amplicon,
DRS022630,DRS022630,,,,MGYS00000657,,,,amplicon,
DRS022631,DRS022631,,,,MGYS00000657,,,,amplicon,
DRS022632,DRS022632,,,,MGYS00000657,,,,amplicon,
DRS022633,DRS022633,,,,MGYS00000657,,,,amplicon,
DRS022634,DRS022634,,,,MGYS00000657,,,,amplicon,
DRS022635,DRS022635,,,,MGYS00000657,,,,amplicon,
DRS022636,DRS022636,,,,MGYS00000657,,,,amplicon,
DRS022637,DRS022637,,,,MGYS00000657,,,,amplicon,
DRS022638,DRS022638,,,,MGYS00000657,,,,amplicon,
DRS022639,DRS022639,,,,MGYS00000657,,,,amplicon,
DRS022640,DRS022640,,,,MGYS00000657,,,,amplicon,
DRS022641,DRS022641,,,,MGYS00000657,,,,amplicon,
DRS022642,DRS022642,,,,MGYS00000657,,,,amplicon,
DRS022643,DRS022643,,,,MGYS00000657,,,,amplicon,
DRS022644,DRS022644,,,,MGYS00000657,,,,amplicon,
DRS022645,DRS022645,,,,MGYS00000657,,,,amplicon,
DRS022646,DRS022646,,,,MGYS00000657,,,,amplicon,
DRS022647,DRS022647,,,,MGYS00000657,,,,amplicon,
DRS022648,DRS022648,,,,MGYS00000657,,,,amplicon,
DRS023751,SAMD00047330,137.3919,34.6577,"Japan:Aichi, Toyohashi",MGYS00001634,terrestrial habitat(ENVO:00002009),coastal sands,sands,amplicon,2013-08-01
DRS036583,DRS036583,142.0091,44.9859,,MGYS00005288,forest,forest soil,soil,amplicon,2011-12-01
DRS048306,SAMD00068844,139.7257,35.7085,Japan:Tokyo,MGYS00002702,,,soil,amplicon,2016-07-20
DRS166291,SAMD00212282,138.802,35.9439,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-26
DRS166293,SAMD00212284,138.8023,35.9434,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-26
DRS166295,SAMD00212286,138.8028,35.9436,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-26
DRS166296,SAMD00212287,138.8028,35.9436,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-26
DRS166300,SAMD00212291,138.8038,35.9459,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-26
DRS166302,SAMD00212293,138.8033,35.9455,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-27
DRS166303,SAMD00212294,138.8031,35.9452,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-27
DRS166304,SAMD00212295,138.8031,35.9452,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-27
DRS166305,SAMD00212296,138.8038,35.9483,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-27
DRS166306,SAMD00212297,138.8038,35.9483,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-27
DRS166307,SAMD00212298,138.8039,35.9479,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-27
DRS166311,SAMD00212302,138.8008,35.9416,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-27
DRS166313,SAMD00212304,138.8273,35.9488,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-28
DRS166314,SAMD00212305,138.8273,35.9488,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-28
DRS166317,SAMD00212308,138.8045,35.937,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-28
DRS166318,SAMD00212309,138.8045,35.937,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-28
DRS166319,SAMD00212310,138.804,35.9367,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-28
DRS166322,SAMD00212313,138.8003,35.9581,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-28
DRS166323,SAMD00212314,138.8,35.9583,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-28
DRS166324,SAMD00212315,138.8,35.9583,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-28
DRS166325,SAMD00212316,138.7995,35.941,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-29
DRS166328,SAMD00212319,138.8001,35.941,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-29
DRS166330,SAMD00212321,138.7986,35.9588,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-29
DRS166332,SAMD00212323,138.7982,35.9588,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-29
DRS166334,SAMD00212325,138.8249,35.9505,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-29
DRS166336,SAMD00212327,138.8254,35.9504,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-29
DRS166338,SAMD00212329,138.82,35.9572,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-30
DRS166339,SAMD00212330,138.8196,35.9574,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-30
DRS166340,SAMD00212331,138.8196,35.9574,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-30
DRS166341,SAMD00212332,138.8153,35.9578,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-30
DRS166344,SAMD00212335,138.8152,35.9579,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-30
DRS166345,SAMD00212336,138.7984,35.9598,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-30
DRS166348,SAMD00212339,138.7985,35.9595,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-30
DRS166352,SAMD00212343,138.8193,35.9136,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-20
DRS166354,SAMD00212345,138.8176,35.917,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-20
DRS166355,SAMD00212346,138.8177,35.9174,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-31
DRS166356,SAMD00212347,138.8177,35.9174,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-31
DRS166357,SAMD00212348,138.8188,35.9196,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-31
DRS166358,SAMD00212349,138.8188,35.9196,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-31
DRS166359,SAMD00212350,138.8185,35.9199,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-31
DRS166362,SAMD00212353,138.8107,35.9224,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-31
DRS166363,SAMD00212354,138.8102,35.9226,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-31
DRS166364,SAMD00212355,138.8102,35.9226,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-31
DRS166365,SAMD00212356,138.7994,35.9158,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-31
DRS166366,SAMD00212357,138.7994,35.9158,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-31
DRS166368,SAMD00212359,138.7997,35.9156,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-24
DRS166371,SAMD00212362,138.8015,35.9157,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-24
DRS166372,SAMD00212363,138.8015,35.9157,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-24
DRS166373,SAMD00212364,138.7974,35.9148,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-21
DRS166376,SAMD00212367,138.7977,35.9149,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-21
DRS166379,SAMD00212370,138.8019,35.917,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-21
DRS166380,SAMD00212371,138.8019,35.917,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-21
DRS166384,SAMD00212375,138.8074,35.9202,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-21
DRS166385,SAMD00212376,138.8034,35.9195,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-22
DRS166386,SAMD00212377,138.8034,35.9195,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-22
DRS166387,SAMD00212378,138.8038,35.92,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-22
DRS166389,SAMD00212380,138.8136,35.9218,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-24
DRS166390,SAMD00212381,138.8136,35.9218,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-24
DRS166392,SAMD00212383,138.8133,35.9219,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-24
DRS166393,SAMD00212384,138.8189,35.9169,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-22
DRS166394,SAMD00212385,138.8189,35.9169,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-22
DRS166395,SAMD00212386,138.8188,35.9174,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-22
DRS166396,SAMD00212387,138.8188,35.9174,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-22
DRS166398,SAMD00212389,138.8196,35.9155,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-23
DRS166399,SAMD00212390,138.8193,35.9155,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-23
DRS166400,SAMD00212391,138.8193,35.9155,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-23
DRS166401,SAMD00212392,138.8318,35.9195,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-20
DRS166402,SAMD00212393,138.8318,35.9195,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-20
DRS166405,SAMD00212396,138.8268,35.9272,,MGYS00005744,forest biome,mountain,forest soil,amplicon,2014-05-25
ERS025421,Wheat Rhizosphere soil from John Innes Centre,1.218,52.6228,United Kingdom; Norwich,MGYS00000260,terrestrial biome,rhizosphere,soil,metatranscriptomic,2009-01-01
ERS078132,"Low pH soil from UK Countryside Survey, CS1",,,UK,MGYS00000295,terrestrial biome,soil,soil,metagenomic,2007-01-01
ERS078133,"Low pH soil from UK Countryside Survey, CS179",,,UK,MGYS00000295,terrestrial biome,soil,soil,metagenomic,2007-01-01
ERS078134,"Low pH soil from UK Countryside Survey, CS864",,,UK,MGYS00000295,terrestrial biome,soil,soil,metagenomic,2007-01-01
ERS078135,"Low pH soil from UK Countryside Survey, CS922",,,UK,MGYS00000295,terrestrial biome,soil,soil,metagenomic,2007-01-01
ERS078136,"High pH soil from UK Countryside Survey, CS78",,,UK,MGYS00000295,terrestrial biome,soil,soil,metagenomic,2007-01-01
ERS078137,"High pH soil from UK Countryside Survey, CS251",,,UK,MGYS00000295,terrestrial biome,soil,soil,metagenomic,2007-01-01
ERS078138,"High pH soil from UK Countryside Survey, CS511",,,UK,MGYS00000295,terrestrial biome,soil,soil,metagenomic,2007-01-01
ERS078139,"High pH soil from UK Countryside Survey, CS1053",,,UK,MGYS00000295,terrestrial biome,soil,soil,metagenomic,2007-01-01
ERS1037666,AA05,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes,amplicon,
ERS1037667,AA07,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes,amplicon,
ERS1037668,AA10,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes,amplicon,
ERS1037669,EX01,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes,amplicon,
ERS1037670,EX04,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes,amplicon,
ERS1037671,EX06,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes,amplicon,
ERS1037672,GM01,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes,amplicon,
ERS1037673,GM03,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes,amplicon,
ERS1037674,GM08,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes,amplicon,
ERS1037675,ME03,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes,amplicon,
ERS1037676,ME04,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes,amplicon,
ERS1037677,ME09,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes,amplicon,
ERS1037678,MP02,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes,amplicon,
ERS1037679,MP05,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes,amplicon,
ERS1037680,MP09,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes,amplicon,
ERS1037681,NS02,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes,amplicon,
ERS1037682,NS03,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes,amplicon,
ERS1037683,NS06,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes,amplicon,
ERS1037685,NS10,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes,amplicon,
ERS1037686,NS11,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes,amplicon,
ERS1037687,PS12,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes,amplicon,
ERS1037688,PS13,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes,amplicon,
ERS1037689,PS16,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes,amplicon,
ERS1037690,ZR02,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes,amplicon,
ERS1037691,ZR10,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes,amplicon,
ERS1037692,ZR21,,,Poland,MGYS00000600,phosphogypsum waste heap soil,phosphogypsum waste heap soil,mix of soil and postproduction wastes,amplicon,
ERS1051884,16S_2_Wheat,13.05,55.74,Sweden,MGYS00001202,soil,terrestrial,Soil,amplicon,
ERS1051885,16S_3_Wheat,13.32,55.67,Sweden,MGYS00001202,soil,terrestrial,Soil,amplicon,
ERS1051886,16S_4_Wheat,13.03,55.78,Sweden,MGYS00001202,soil,terrestrial,Soil,amplicon,
ERS1051887,16S_5_Wheat,13.18,55.75,Sweden,MGYS00001202,soil,terrestrial,Soil,amplicon,
ERS1051888,16S_2_Grass,13.05,55.74,Sweden,MGYS00001202,soil,terrestrial,Soil,amplicon,
ERS1051889,16S_3_Grass,13.34,55.67,Sweden,MGYS00001202,soil,terrestrial,Soil,amplicon,
ERS1051890,16S_4_Grass,13.01,55.75,Sweden,MGYS00001202,soil,terrestrial,Soil,amplicon,
ERS1051891,16S_5_Grass,13.15,55.74,Sweden,MGYS00001202,soil,terrestrial,Soil,amplicon,
ERS1052224,Wb,32.2549,30.3501,Egypt,MGYS00001421,Desert Soil,Soil,Soil,amplicon,
ERS1052225,Sb,31.3941,30.2288,Egypt,MGYS00001421,Agricultural Soil,Soil,Soil,amplicon,
ERS1073737,NP13-J10A-WGS,6.104,48.615,France,MGYS00000628,terrestrial biome,contaminated soil,contaminated soil,metagenomic,
ERS1073738,NP13-J10B-WGS,6.104,48.615,France,MGYS00000628,terrestrial biome,contaminated soil,contaminated soil,metagenomic,
ERS1073739,NP13-J10C-WGS,6.104,48.615,France,MGYS00000628,terrestrial biome,contaminated soil,contaminated soil,metagenomic,
ERS1073740,RG13-J10A-WGS,6.104,48.615,France,MGYS00000628,terrestrial biome,contaminated soil,contaminated soil,metagenomic,
ERS1073741,RG13-J10B-WGS,6.104,48.615,France,MGYS00000628,terrestrial biome,contaminated soil,contaminated soil,metagenomic,
ERS1073742,RG13-J10C-WGS,6.104,48.615,France,MGYS00000628,terrestrial biome,contaminated soil,contaminated soil,metagenomic,
ERS1075580,Restinga experiment,,,,"MGYS00000776,MGYS00002037",,,,metagenomic,
ERS1075581,Restinga experiment,,,,MGYS00000776,,,,metagenomic,
ERS1092925,Soil sample: AB2 3S,-116.1339,33.2844,USA,MGYS00000644,desert,rock,rock,metagenomic,
ERS1092926,DV sample: AB2 3,-116.1339,33.2844,USA,MGYS00000644,desert,rock,rock,metagenomic,
ERS1092927,Soil sample: AB2 2S,-116.1339,33.2844,USA,MGYS00000644,desert,rock,rock,metagenomic,
ERS1092928,DV sample: AB D3,-116.1339,33.2844,USA,MGYS00000644,desert,rock,rock,metagenomic,
